,L1,L2,Attendance,Weather,PitchCondition
96,1.049702935,1.530488265,2,2,1
97,1.776770146,0.810564312,2,2,1
98,1.54751812,0.693567224,1,2,1
99,1.608692248,0.977107082,3,2,2
100,1.270998286,1.065096388,3,2,1
101,1.321164995,0.931761021,1,2,1
102,1.235991314,0.887930307,1,4,1
103,1.397204546,0.826919912,1,2,1
104,1.675949601,0.692701598,2,2,1
105,1.473480278,1.114939272,3,2,1
106,1.276054697,1.072406898,3,2,1
107,1.147796282,1.237661425,1,2,1
108,1.698575319,0.904422918,3,6,2
109,2.014499281,1.126967664,3,10,5
110,1.552923894,0.675247166,2,2,1
111,1.934909514,0.801948541,1,5,1
112,1.765586634,1.000854035,1,7,3
113,1.864430878,0.839819499,3,2,1
114,1.244273731,1.239506912,1,4,4
115,1.352944047,0.955680521,1,3,1
116,1.036532232,1.333764856,1,2,1
117,1.245143576,1.260374685,1,2,2
118,1.431234305,1.077539725,1,2,1
119,1.349171307,1.362971811,2,6,5
120,1.109662223,1.293186263,1,2,1
121,1.108191435,1.388839752,3,5,1
122,0.796572653,2.010277261,3,2,1
123,1.385939501,0.904071354,3,3,1
124,1.345000109,1.187817374,1,2,1
125,1.055743855,1.2323356,3,2,1
126,1.986669374,0.755324587,3,2,1
127,1.193506383,1.330710436,3,5,2
128,1.228932336,0.92635232,1,2,1
129,1.33128183,1.510555208,3,2,1
130,1.404252356,0.934025766,1,2,2
131,1.957606,0.937448015,3,5,1
132,1.346021706,0.874938492,1,2,1
133,2.310931022,0.672839315,1,2,1
134,1.389490367,0.96160478,3,2,1
135,0.750979082,2.288696495,1,2,1
136,1.443850815,0.967846874,3,6,2
137,1.433012487,0.836362786,4,11,8
138,1.407863411,0.975537611,1,2,1
139,0.986826594,0.800816182,3,2,1
140,1.694372851,0.895225886,3,2,1
141,1.900815953,1.060206553,3,3,2
142,1.542236169,0.733518761,3,2,1
143,1.602184447,0.719614463,1,2,1
144,0.822613262,1.366305912,1,2,2
145,1.09650354,1.303562998,3,4,1
146,1.48750562,1.024075364,1,2,1
147,1.071586632,1.200106888,3,2,1
148,1.908019657,0.86520231,3,4,3
149,1.678333941,0.877015581,1,2,1
150,1.321315968,0.927695127,1,6,5
151,2.496996707,0.713631886,3,2,1
152,1.631427053,0.794844027,3,2,1
153,1.252232338,1.135251128,1,11,1
154,1.576706134,0.713938195,1,2,1
155,0.973867279,1.043400036,2,2,1
156,1.101446974,1.221880146,1,2,2
157,1.693387106,0.845060102,3,2,1
158,3.377727304,0.447180026,1,2,1
159,1.260321987,1.086227696,3,2,1
160,1.329291403,1.012648963,3,2,1
161,1.185986648,1.35386399,1,2,2
162,1.134435402,1.104634901,3,2,1
163,2.867634595,0.76453697,1,12,4
164,1.641653352,0.988815012,3,2,1
165,1.494936978,0.833171751,2,3,5
166,1.035469419,1.013774867,1,9,1
167,1.781917153,1.099083009,2,2,2
168,1.213935805,1.326704035,3,2,2
169,1.622302048,1.100985435,3,7,1
170,1.079933888,1.482398411,3,2,1
171,1.200521901,1.262655251,1,6,1
172,2.263590101,0.658763614,1,2,2
173,0.886381754,1.549032747,1,2,1
174,1.237370225,0.972192317,2,2,1
175,1.211441857,1.280726552,2,2,2
176,1.549323944,0.684263731,4,2,1
177,1.364460141,1.236077772,1,2,1
178,1.776610515,0.857244677,2,2,2
179,1.24476901,0.810675457,1,2,1
180,1.348792946,1.236304895,3,2,1
181,1.250441419,0.880808031,1,1,1
182,1.722350069,0.779275438,3,2,2
183,1.414596015,0.991400133,3,6,2
184,1.581340401,1.32688043,2,3,5
185,2.171763977,0.956526222,3,2,5
186,1.658312015,0.769993178,3,2,2
187,1.100163384,1.172799431,4,2,2
188,1.306683848,1.105644124,1,2,2
189,1.133766838,1.030180334,2,2,2
190,1.236024421,1.210307818,3,5,2
191,1.763544448,0.849961937,2,2,1
192,1.870292219,0.737746785,3,2,1
193,1.824160332,1.0173296,4,2,2
194,1.587777785,1.223600045,3,2,1
195,1.805803953,1.009310193,1,4,3
196,1.373672563,1.456012342,3,2,1
197,1.545239774,0.735590842,3,3,2
198,1.635249045,0.845929145,3,2,1
199,1.395151178,0.891072785,1,2,1
200,1.693922826,1.129524902,3,8,3
201,1.443310795,1.527717622,1,5,2
202,1.700771692,1.243160439,1,3,1
203,1.395349858,0.779327591,1,9,1
204,1.171157942,1.589621637,3,2,5
205,1.245507014,1.603247754,1,9,2
206,1.422019179,0.951027426,1,2,1
207,3.021312666,0.464564537,1,4,1
208,1.689955115,0.705722873,3,2,1
209,1.39216444,1.044854949,1,2,1
210,1.998679981,0.905692024,3,2,1
211,0.891276089,1.597116215,3,2,1
212,1.195074438,1.173830596,1,2,1
213,1.223555442,1.314417,1,2,1
214,1.011996585,3.082206044,1,3,1
215,1.198857586,1.420818226,1,2,1
216,1.22171421,1.763260077,1,2,2
217,1.671733268,1.191128639,1,3,2
218,1.48276577,1.629939979,1,2,2
219,1.986692576,0.847847284,3,2,1
220,2.106809377,0.6721198,1,2,1
221,1.096408818,1.054725777,3,2,1
222,0.984929935,1.652140956,1,1,1
223,1.158502772,1.330490072,1,2,3
224,1.075331118,1.13615922,3,2,1
225,1.49076712,0.779360937,1,2,1
226,3.046557931,0.653245634,1,2,1
227,1.22588788,1.172305963,3,9,1
228,1.891139333,0.815636949,3,2,2
229,1.500804178,1.140307911,1,2,2
230,1.942454575,1.042291618,2,2,2
231,1.310050424,1.306300248,1,2,2
232,1.149478966,0.802373025,3,9,1
233,1.434780569,1.518814065,3,2,5
234,1.771500671,1.031107083,3,2,1
235,1.186746125,1.081491933,1,4,1
236,1.248805467,1.358811614,4,2,2
237,1.069810366,0.945327602,1,2,1
238,1.811460628,0.811745824,1,2,1
239,1.277395259,1.008590239,3,9,1
240,1.421236274,0.895608932,1,2,2
241,1.611701444,0.696062639,1,2,1
242,1.775229494,0.981527334,3,2,1
243,0.926842069,1.121160019,1,9,1
244,1.811539039,1.185441544,1,2,5
245,0.707627972,2.223199459,1,2,1
246,1.101235041,1.217689976,1,2,2
247,1.223135953,0.916119564,1,2,1
248,1.75766705,0.82760588,3,2,2
249,1.333067597,0.947714828,3,2,2
250,1.193463489,0.890365147,2,2,1
251,1.378062342,0.97497616,1,2,1
252,2.028080778,0.805311447,1,2,1
253,1.582084031,0.694995537,2,2,2
254,1.6671649,0.992698629,1,2,2
255,1.318233727,1.006535594,3,2,1
256,1.16568774,1.264486134,3,2,2
257,1.012783902,1.274257,1,3,2
258,1.540055967,0.762781955,3,2,1
259,1.393429038,0.930963864,1,2,2
260,1.133203841,1.187101578,2,2,2
261,1.061306486,0.949130647,3,2,1
262,1.126760347,1.270441863,1,2,2
263,1.410523222,1.37783948,3,2,2
264,1.198480779,1.493193635,2,2,2
265,3.578466494,0.462868195,3,2,1
266,1.078032878,1.292608954,3,2,1
267,1.563619178,1.055559975,2,2,1
268,1.75699763,1.201997492,3,2,2
269,1.095839474,1.152067537,3,3,2
270,1.360252101,0.736539426,1,6,5
271,1.989397213,0.935714736,3,2,5
272,1.801316928,0.877942603,3,6,5
273,1.304565057,1.00439767,1,2,1
274,1.776187045,0.983085125,3,2,1
275,2.035560308,0.912984641,3,2,1
276,1.460218001,1.318141781,3,2,1
277,1.584141125,1.368655895,3,2,5
278,1.454649713,1.143899646,3,2,1
279,1.359338645,0.989867334,1,2,2
280,1.480824846,0.990165154,1,2,5
281,1.341456977,1.618552075,1,13,2
282,0.983679098,1.858126334,3,2,5
283,1.763379626,0.843749483,1,6,1
284,0.971879213,1.542474752,1,2,1
285,1.577064,0.773191407,3,2,2
286,1.575211652,1.18932133,3,10,5
287,1.974957424,0.796525817,1,2,1
288,1.94840321,0.45182172,2,2,1
289,1.76634786,0.679062047,1,2,1
290,1.247913253,1.4122233,3,2,1
291,1.172578124,0.996458994,3,2,1
292,1.719894633,0.876888685,1,2,1
293,1.227814501,0.998810795,1,1,1
294,1.655594744,1.046950018,3,2,1
295,0.964851377,1.340539215,3,2,1
296,1.283368568,1.204321215,3,2,2
297,1.099855205,1.669290824,1,2,1
298,1.646948757,1.19964045,4,2,2
299,1.585509851,1.04363757,3,2,1
300,1.992295092,0.945263835,3,2,1
301,1.903320454,0.833729387,1,7,1
302,1.828129646,0.989408616,3,2,1
303,1.492070354,1.380042365,1,2,1
304,1.808127397,0.827248083,2,2,1
305,1.069552849,0.989761031,1,2,1
306,3.134364526,0.50102501,1,5,1
307,1.774831337,0.845124073,1,2,2
308,1.507710688,1.021891981,3,2,1
309,3.688526874,0.45142664,1,2,1
310,1.263065636,1.076152376,3,2,1
311,1.126306019,1.192460689,1,5,2
312,1.669821666,0.787626434,2,2,1
313,1.679663917,0.900230291,3,3,1
314,1.476217246,1.053628072,2,5,1
315,1.818455146,1.029093149,3,2,1
316,2.313177982,0.705763975,2,2,1
317,1.761392334,0.941119581,3,9,1
318,1.74673285,0.839055,3,2,1
319,1.173611921,0.956375659,3,2,1
320,1.13227071,1.106120494,3,2,3
321,1.380252643,1.648601098,3,2,2
322,1.127269678,1.496496548,3,2,2
323,1.469915,1.143730788,1,2,5
324,1.875140391,0.711932839,1,6,5
325,1.004406711,1.236410829,1,3,1
326,1.134075855,1.510496501,3,2,1
327,1.259557753,1.056057111,3,2,2
328,1.495075969,1.061886225,1,2,1
329,1.23740711,1.009482894,1,2,2
330,1.052687147,1.821264517,3,2,1
331,1.576423312,1.10948628,3,2,1
332,1.141440096,2.194655801,1,2,1
333,2.64006256,0.844337496,2,3,2
334,1.070943859,2.103986862,3,2,1
335,2.255217785,0.744108915,1,2,1
336,1.630187625,1.053297275,1,2,1
337,2.571864838,0.712592428,1,6,5
338,1.324309979,1.252107476,3,6,1
339,0.912443411,1.388313994,3,2,1
340,0.968875498,1.249072195,1,2,1
341,2.105857656,0.89761255,1,2,2
342,1.49466314,0.834903459,1,9,5
343,2.842862513,0.914590907,1,4,1
344,0.889551566,1.874099397,1,2,1
345,0.911744147,2.034985221,1,2,1
346,2.048664067,0.887310171,1,2,1
347,1.856947495,0.815681821,3,2,1
348,1.356478455,1.974636668,1,2,6
349,1.316717326,2.334218889,1,3,1
350,1.352425584,1.100938756,1,5,1
351,1.828089637,0.924803299,1,2,1
352,1.710213173,0.649958127,1,2,7
353,2.760468831,0.750248103,1,8,9
354,1.375870483,1.706211632,1,3,1
355,1.820126489,1.121602105,1,2,1
356,1.751567135,1.358230799,1,4,9
357,0.795157729,1.231391847,1,2,1
358,1.314302232,1.326856471,1,2,1
359,1.703496564,0.458279572,1,3,1
360,1.27866572,0.901691486,1,2,1
361,1.726974681,1.100875548,1,2,1
362,1.856082967,1.455738997,1,2,2
363,1.791007415,0.719044722,1,2,1
364,1.903698704,1.207089202,1,9,2
365,1.084035635,1.72166671,1,1,2
366,1.064072113,1.311313073,1,2,1
367,2.228433576,0.872762452,1,2,1
368,1.192555242,2.074163108,3,3,6
369,1.131566762,1.525173172,3,6,5
370,1.971268704,0.632126555,1,1,2
371,0.794029431,1.818787161,1,2,1
372,1.565095763,1.41099608,4,2,1
373,1.811459505,0.919300807,1,5,1
374,2.79496054,0.917401556,1,2,1
375,1.02002906,2.176027977,1,2,1
376,1.700272108,1.269951743,3,2,5
377,2.777665556,0.676906448,1,7,1
378,1.128397973,1.672462363,1,2,1
379,2.360414991,0.760369243,2,2,1
380,1.741138549,0.71010247,1,3,1
381,0.874946082,1.90791322,3,2,2
382,0.916067614,1.559108301,1,2,1
383,2.370726139,0.837053873,1,2,1
384,1.449271225,1.214826597,1,9,1
385,1.823110645,1.219111236,1,2,6
386,1.142780645,1.630667075,1,2,1
387,1.84479774,0.518678613,1,2,1
388,1.322072687,0.96027064,1,14,1
389,1.110545076,2.267834639,1,2,6
390,2.403960547,0.632403917,3,2,1
391,1.171101753,1.607844831,4,2,1
392,2.170064535,0.809222098,3,2,3
393,1.911623163,1.13077213,3,2,1
394,1.073848037,1.991070104,1,2,1
395,1.707290643,0.85386408,1,6,2
396,1.042456162,2.067311084,1,2,6
397,2.274307572,1.223949113,1,2,2
398,1.428637131,1.268195065,3,5,1
399,2.803735329,0.690739668,1,2,1
400,1.192514494,1.842658974,1,15,6
401,1.40623419,1.450679662,1,9,1
402,1.032321349,1.473679112,1,2,6
403,1.66194006,1.204280182,3,10,2
404,3.008067006,0.568903997,3,5,1
405,1.311987637,1.607817633,1,2,1
406,2.436893242,0.768757019,1,2,1
407,1.169439448,2.608600196,1,2,1
408,2.091776047,0.968898854,1,3,5
409,1.51181511,1.405199565,3,2,1
410,2.41417983,0.92991771,1,3,5
411,4.06087075,0.994516096,1,6,5
412,2.632226218,0.993063866,1,3,1
413,1.030860493,1.578672535,1,2,7
414,1.648818988,0.984289942,1,2,1
415,0.993113465,0.944913571,1,3,1
416,0.890112669,1.667950519,3,2,1
417,2.017164728,1.050862751,3,2,1
418,3.040022323,0.84172876,1,2,1
419,0.907450008,1.512118729,1,7,9
420,3.470850624,0.783769472,2,3,2
421,1.906452907,1.058903854,2,2,1
422,2.4415201,0.832805646,3,2,1
423,1.133632401,1.00784447,3,3,1
424,1.033418278,1.290399526,1,2,1
425,1.114287737,2.057391314,1,2,1
426,2.999122474,0.755492851,1,2,2
427,1.419715727,0.863062142,3,2,1
428,1.338757754,1.081699397,3,2,1
429,1.872068643,0.941601602,1,2,1
430,1.09798336,2.064621518,1,2,1
431,2.577301998,0.744997003,2,2,1
432,1.619563228,1.037666281,1,2,1
433,1.323845973,1.184781943,1,2,1
434,1.037461862,1.620003117,1,2,1
435,1.488292114,1.289259088,1,2,6
436,1.168950519,1.445698445,1,3,1
437,1.688438354,0.749524444,2,2,1
438,2.196807691,1.252229035,1,5,5
439,0.841875732,2.092595361,1,15,4
440,2.01843769,0.77654953,3,1,1
441,2.7623596,0.558883914,1,1,1
442,2.545941086,0.886329581,1,3,1
443,2.303964577,0.579730235,3,5,1
444,1.983359696,0.762011556,3,2,1
445,1.218897243,0.801583674,1,2,1
446,1.308376166,0.764512036,3,2,1
447,1.167697524,0.882806101,3,2,1
448,0.930347704,1.038467487,3,2,1
449,1.189837601,1.106066449,1,2,1
450,1.110664311,0.867922839,2,5,1
451,1.207874395,0.720970193,3,2,1
452,0.993977249,0.907377111,3,5,1
453,1.124337847,0.869357766,3,4,1
454,1.761850759,1.076247545,2,2,2
455,0.608910613,2.02040063,2,2,1
456,2.636733317,0.854714451,2,2,2
457,2.683327331,0.423840738,2,2,2
458,2.596748518,0.42581602,2,2,2
459,0.952106306,1.806966628,2,5,1
460,1.978152668,0.647786073,2,2,2
461,1.325869656,1.473496348,2,2,1
462,2.776899593,0.784713777,2,2,2
463,2.087450485,0.597474739,3,2,2
464,2.670525182,0.719328391,2,5,1
465,0.912823161,1.273515068,2,16,6
466,1.330460196,0.975801062,2,2,1
467,0.591884712,2.442463572,3,5,1
468,1.463914458,1.004992738,2,5,2
469,2.78099225,0.748674138,3,2,2
470,1.236018376,1.369651884,1,5,1
471,0.595604167,2.260369583,2,5,1
472,1.545276726,1.575677493,2,5,2
473,3.113229409,0.704470784,2,5,2
474,1.876049843,0.957232573,3,2,2
475,1.700766522,0.688753493,3,4,1
476,2.374236967,0.407695626,1,2,1
477,1.017622209,1.066991977,2,5,2
478,1.91809849,0.845863336,3,2,2
479,0.899983023,1.409213112,3,5,1
480,1.688297845,1.40358909,2,5,1
481,0.887508401,2.425815955,2,5,2
482,2.713672179,0.526186477,3,5,2
483,1.176985456,1.553115812,2,2,2
484,0.923962963,1.661040064,2,5,1
485,2.446433987,0.561518108,2,2,1
486,0.854135609,1.69791047,3,2,1
487,1.454618075,1.330189867,2,2,1
488,1.734762306,1.077040018,2,2,2
489,1.277318329,1.778684044,2,2,2
490,0.579523144,2.262473995,2,2,1
491,1.565864508,0.813066269,2,2,2
492,2.187007966,0.876160815,2,5,2
493,0.864888709,1.426551519,3,2,1
494,0.827419475,1.25575836,2,2,1
495,1.030090774,1.582596825,2,2,2
496,1.559167893,1.481987891,2,2,2
497,0.657273681,2.335322692,1,2,1
498,1.35060786,0.979497215,2,2,1
499,1.62877131,1.313127173,2,6,1
500,1.040753941,1.227406455,2,5,2
501,2.121317596,1.066593556,1,5,1
502,2.269179467,0.809275314,2,2,2
503,1.138074314,1.330118218,4,5,1
504,2.278633696,1.009384575,2,2,2
505,1.125884059,1.311303824,2,2,1
506,0.893215276,1.609366394,2,2,1
507,1.74835291,0.919350441,3,2,2
508,0.937858423,1.969069522,1,2,2
509,2.073082014,0.927484741,3,2,1
510,2.455598031,0.479996117,3,2,1
511,1.253730028,1.206306094,2,2,2
512,0.967567446,1.251572666,3,5,2
513,1.648535866,0.761581467,2,5,2
514,1.485151375,0.84473097,2,2,1
515,4.938254014,0.483356734,1,2,2
516,1.366280172,1.524929385,2,2,1
517,2.218940203,0.848987962,2,5,2
518,1.68560187,0.931543366,3,2,2
519,1.983451669,0.519743424,2,5,1
520,3.216766267,0.599832239,3,2,2
521,0.732944088,2.219566465,1,2,2
522,2.016620913,0.529697382,3,2,2
523,1.57749093,0.926807237,3,5,1
524,1.401722571,1.48256978,2,2,2
525,1.261769631,1.164820376,2,2,1
526,1.115833122,1.012454706,2,5,1
527,0.947728259,1.993508736,2,5,2
528,1.627958413,1.538609213,2,2,1
529,1.425222434,1.061467857,2,2,1
530,1.903052228,1.046775873,2,2,1
531,1.081390643,1.377952606,3,5,2
532,1.798518164,0.931779505,4,2,2
533,3.089264857,0.661605853,3,2,2
534,2.409362919,0.750334344,2,2,2
535,1.901771003,0.977030358,3,5,1
536,0.657693404,2.240838022,2,2,1
537,2.616782803,0.590734518,2,2,2
538,0.705451028,2.620105361,2,2,1
539,1.857742197,0.949865331,3,2,2
540,0.893901702,1.413784092,2,2,1
541,2.508253201,0.926616267,1,2,2
542,3.101439057,0.593159649,3,2,2
543,2.907519953,0.694652628,2,2,2
544,1.047203435,1.29275672,2,5,2
545,0.747211444,2.08122258,1,2,1
546,1.078408655,1.913922892,2,5,1
547,0.854214522,1.524631208,2,2,2
548,1.164050543,1.684623582,2,2,2
549,0.857255739,1.848547908,1,8,3
550,2.139721855,1.242363023,2,5,2
551,1.177819619,1.661863043,3,5,1
552,1.466249001,1.066937651,2,5,1
553,1.209153538,1.15772265,1,2,2
554,1.716648273,0.760153577,2,2,2
555,1.136822454,1.421076982,3,2,1
556,0.968133456,1.305954489,3,5,1
557,3.245738285,0.563239792,2,2,2
558,0.911769425,1.439223954,3,2,1
559,2.256263747,0.905685517,3,6,1
560,1.470794312,1.321239376,2,2,1
561,1.030373426,2.092164204,2,5,1
562,2.823675199,0.484259468,2,2,3
563,1.584455561,0.965229434,1,2,2
564,2.286657132,0.476354968,3,2,1
565,1.136302903,1.703977172,3,5,1
566,1.029199735,1.355430627,3,2,1
567,1.084234559,1.449280113,1,2,1
568,3.180302655,0.431391067,3,2,2
569,1.084618457,1.380515232,2,2,2
570,2.706438146,0.573726047,2,2,2
571,1.687646976,1.258616316,3,2,2
572,1.584837743,0.761090246,1,5,2
573,2.118939556,0.646136781,1,5,1
574,2.336444888,0.906509499,2,5,2
575,0.892470539,1.518189594,3,2,1
576,1.334654857,0.656504391,2,2,1
577,1.070937078,1.048432495,1,5,2
578,0.809091754,3.049514539,1,5,1
579,1.45085787,0.977154207,1,5,1
580,1.144666538,1.102212102,4,5,1
581,1.141328679,1.101590298,3,5,1
582,0.566187296,2.335757264,3,2,2
583,1.79801452,0.752697452,2,2,1
584,2.315577904,0.802361846,2,5,1
585,2.178250982,0.796038821,3,5,2
586,2.91776112,0.426699658,3,2,1
587,1.289733698,1.238514275,3,2,2
588,2.651658731,0.618513732,3,5,2
589,1.616785749,1.453060288,2,5,1
590,1.554502669,0.726130417,3,5,2
591,2.443159789,0.890873797,2,2,3
592,2.220303388,0.962715308,4,2,2
593,0.863981,1.628784879,1,2,1
594,0.921924288,1.894095352,2,2,2
595,2.056472598,1.186055986,2,6,1
596,1.802250655,0.830533346,2,6,1
597,1.065477365,1.945871447,2,6,2
598,0.767229662,1.756361505,3,5,1
599,2.846837295,0.694957077,2,2,1
600,2.307946107,0.840340064,1,2,2
601,1.563806691,0.908914433,3,2,2
602,1.13946996,1.257497022,2,2,1
603,0.800446413,2.685015587,2,2,1
604,0.791812107,1.601952267,3,2,1
605,0.513663509,1.96601027,2,5,1
606,1.465606597,1.096873954,3,2,2
607,2.12312057,0.799464792,1,2,1
608,2.681652403,0.6655614,2,2,2
609,0.958319328,2.218482526,2,2,2
610,1.148264116,1.061448875,3,2,2
611,2.094346442,0.755838387,2,2,2
612,2.386297647,0.768246716,2,2,2
613,2.560954061,0.721200826,2,5,2
614,0.802051158,1.957766394,2,2,2
615,0.83734264,1.633382974,3,2,1
616,1.523476204,0.524843556,2,2,1
617,1.399869294,0.824938412,3,5,1
618,2.944875622,0.301571706,2,2,2
619,2.000915158,0.927377667,2,2,2
620,0.716362698,1.903938841,1,2,1
621,2.008683616,0.794583045,3,5,1
622,0.974632314,1.738485232,2,2,1
623,1.048858261,1.932109561,2,2,1
624,1.084622862,1.746091595,3,2,1
625,3.601426111,0.591590101,2,2,1
626,1.775205306,0.943820258,2,5,1
627,0.7810965,3.487508786,1,5,1
628,1.664794449,0.735588338,3,2,1
629,1.239759618,1.219048918,3,2,2
630,1.919054878,0.761947424,4,5,2
631,1.343747793,0.899805747,2,5,2
632,2.145540924,0.788589187,3,2,2
633,1.138706406,0.982949831,2,6,1
634,2.287296672,0.931859822,2,5,1
635,1.541358628,1.048314394,2,2,1
636,2.418016638,0.622213943,2,2,1
637,2.116396252,0.806333014,2,2,1
638,1.451026629,0.916563298,2,2,1
639,1.088082236,1.159090516,2,4,3
640,1.038425935,1.129115439,3,5,2
641,0.876878987,2.006745968,3,5,1
642,0.761302348,2.624015122,1,2,2
643,1.11460984,1.347347593,1,5,1
644,2.280151453,0.677652917,3,2,1
645,3.172290442,0.462987003,2,2,1
646,1.018976238,1.864878435,2,2,2
647,1.099550148,1.203556404,2,2,1
648,1.033760004,1.64786156,2,2,2
649,1.720714378,1.159525103,2,2,1
650,2.311207077,0.690571722,3,2,1
651,1.670869678,0.928666111,2,5,1
652,1.993344521,0.786241933,3,5,1
653,1.062849256,1.34421729,2,5,2
654,2.931136582,0.583958765,2,2,1
655,2.241455458,1.102165073,3,5,1
656,1.955102178,0.577285171,2,2,1
657,2.260151877,0.795631538,2,5,2
658,1.361651779,1.070892943,2,5,2
659,1.991532713,1.152739195,2,2,2
660,2.620806471,0.424944781,3,2,2
661,0.81010607,1.504773136,3,2,1
662,3.274996476,0.471550947,1,5,1
663,0.724432275,2.221191776,1,2,2
664,0.759824854,2.549996594,3,4,3
665,1.70012493,0.88933364,3,2,1
666,1.770773188,0.84583974,3,2,3
667,1.151055491,1.2779235,3,2,1
668,1.811548007,0.878874687,3,2,1
669,0.889903861,1.631617507,3,2,1
670,1.966038919,0.924329559,2,2,1
671,2.029873205,0.558014518,1,2,1
672,0.660112669,1.514250618,2,2,1
673,1.208534123,1.109056935,3,2,1
674,1.49427825,1.779846582,2,4,1
675,1.295732845,1.187298876,2,2,2
676,3.559445238,0.687477786,1,2,1
677,0.55454336,2.367192265,2,2,1
678,1.720983225,1.103566068,2,2,2
679,1.121809651,1.590494382,1,2,2
680,1.687390274,1.114128543,3,2,1
681,1.2254563,1.55639828,2,2,1
682,1.75831316,0.905260456,2,2,1
683,1.855988954,0.950111473,4,2,1
684,0.88190471,1.724349968,2,2,2
685,0.859596537,1.317574314,4,2,2
686,2.676707479,0.698152614,2,2,1
687,1.618973539,0.729007562,2,2,1
688,1.582863176,0.805482882,2,2,1
689,0.921197448,2.469356941,2,2,1
690,1.229421711,1.079951788,2,2,1
691,1.795639481,0.632173576,2,2,2
692,1.469426875,1.09965586,2,2,1
693,1.151979231,1.953812323,2,2,1
694,1.010257216,1.897697971,2,2,1
695,1.128239196,0.925159077,2,2,2
696,1.565471849,0.91317854,3,2,1
697,1.945691458,0.652985579,2,2,1
